Protein IDs,Protein names,Gene names,Razor + unique peptides,Sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Intensity,Peptide IDs,Evidence IDs,Best MS/MS
Q12907,Vesicular integral-membrane protein VIP36 (Glycoprotein GP36b) (Lectin mannose-binding 2) (Vesicular integral-membrane protein 36) (VIP36),LMAN2 C5orf8,11,38.2,40.228,356,0.0,66.249,182800000.0,4519;4577;4764;5257;13133;17244;18693;19478;19645;24878;30322,15913;15914;15915;15916;15917;15918;16218;16219;16220;16221;16838;18496;18497;18498;46211;46212;46213;46214;46215;46216;46217;46218;46219;46220;60336;60337;65262;65263;65264;67790;67791;68363;68364;68365;68366;68367;68368;68369;85737;105261;105262;105263;105264;105265;105266,16552
Q12929,Epidermal growth factor receptor kinase substrate 8,EPS8,2,5.2,91.88,822,0.0,10.024,4251600.0,1891;10282,6652;6653;35898,6941
Q12931,"Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)",TRAP1 HSP75,23,45.3,80.109,704,0.0,166.78,384220000.0,938;2158;6246;6948;6974;7015;11691;12112;12113;12311;16875;17781;18417;19690;20347;21009;23434;23636;24278;25838;30606;31274;31375,3213;3214;3215;7622;7623;7624;7625;7626;7627;22097;22098;22099;22100;22101;22102;22103;22104;24572;24573;24685;24686;24687;24688;24689;24690;24691;24692;24693;24825;24826;40923;40924;42567;42568;43252;59217;59218;59219;62301;64466;68576;68577;68578;68579;68580;68581;68582;68583;68584;68585;68586;68587;70911;70912;73114;73115;80712;81424;83699;83700;83701;89040;89041;106293;106294;106295;106296;106297;106298;106299;106300;108676;108677;109044;109045;109046;109047;109048;109049;109050;109051;109052,3332
Q12959,Disks large homolog 1 (Synapse-associated protein 97) (SAP-97) (SAP97) (hDlg),DLG1,5,8.3,100.45,904,0.0,17.339,19292000.0,4839;8862;13508;13621;17970,17053;17054;30963;47712;47713;47714;48181;48182;48183;62948,17747
Q12962,Transcription initiation factor TFIID subunit 10 (STAF28) (Transcription initiation factor TFIID 30 kDa subunit) (TAF(II)30) (TAFII-30) (TAFII30),TAF10 TAF2A TAF2H TAFII30,2,15.1,21.711,218,0.0,8.0782,2845700.0,2374;17773,8345;62263,8706
Q12972,Nuclear inhibitor of protein phosphatase 1 (NIPP-1) (Protein phosphatase 1 regulatory inhibitor subunit 8) [Includes: Activator of RNA decay (EC 3.1.4.-) (ARD-1)],PPP1R8 ARD1 NIPP1,5,22.5,38.478,351,0.0,30.077,27274000.0,6768;6769;10976;14422;17069,23933;23934;23935;23936;23937;38376;38377;51040;51041;51042;51043;51044;51045;59794;59795,24910
Q12996,Cleavage stimulation factor subunit 3 (CF-1 77 kDa subunit) (Cleavage stimulation factor 77 kDa subunit) (CSTF 77 kDa subunit) (CstF-77),CSTF3,9,19.1,82.921,717,0.0,53.707,31464000.0,5327;5626;11792;12319;13622;16381;16382;24060;25971,18794;20005;41296;43272;43273;48184;48185;48186;48187;57550;57551;57552;57553;57554;57555;89450;89451,19543
Q13011,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)",ECH1,10,38.7,35.816,328,0.0,69.887,356120000.0,2872;8040;12646;20306;24942;25534;28310;28595;30449;31184,10079;10080;10081;10082;28101;28102;28103;44370;70765;70766;70767;85908;85909;85910;85911;85912;85913;85914;85915;85916;85917;85918;85919;87922;87923;87924;87925;87926;87927;87928;87929;87930;87931;87932;87933;87934;97993;97994;97995;99100;99101;99102;99103;99104;99105;105731;105732;105733;105734;105735;105736;108368;108369;108370;108371,10504
Q13033,Striatin-3 (Cell cycle autoantigen SG2NA) (S/G2 antigen),STRN3 GS2NA SG2NA,7,15.2,87.208,797,0.0,31.182,23161000.0,1468;20375;21098;22988;24585;29965;30757,5108;70984;73405;79581;84757;84758;104174;104175;106873;106874,5328
Q13043,Serine/threonine-protein kinase 4 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 1) (MST-1) (STE20-like kinase MST1) (Serine/threonine-protein kinase Krs-2) [Cleaved into: Serine/threonine-protein kinase 4 37kDa subunit (MST1/N); Serine/threonine-protein kinase 4 18kDa subunit (MST1/C)],STK4 KRS2 MST1,2,6.0,55.63,487,0.0,7.7912,2159900.0,1110;26711,3815;92102,3979
Q13045,Protein flightless-1 homolog,FLII FLIL,14,17.7,144.75,1269,0.0,64.413,30289000.0,524;9796;17075;19394;19586;19829;20037;20485;20573;21489;24493;27045;28420;29253,1844;34105;59809;67482;68143;69077;69790;71340;71644;71645;71646;74770;84432;93180;98416;98417;101627,1927
Q13057,Bifunctional coenzyme A synthase (CoA synthase) (NBP) (POV-2) [Includes: Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT); Dephospho-CoA kinase (DPCK) (EC 2.7.1.24) (Dephosphocoenzyme A kinase) (DPCOAK)],COASY PSEC0106,9,31.9,62.328,564,0.0,48.176,52118000.0,2901;3660;10926;12583;13896;16611;18204;24119;25325,10149;10150;10151;10152;10153;10154;12842;12843;12844;12845;38201;44157;44158;44159;49145;58307;63753;63754;63755;83175;83176;83177;83178;87199;87200;87201;87202,10576
Q13084,"Large ribosomal subunit protein bL28m (39S ribosomal protein L28, mitochondrial) (L28mt) (MRP-L28) (Melanoma antigen p15) (Melanoma-associated antigen recognized by T-lymphocytes)",MRPL28 MAAT1,4,25.8,30.156,256,0.0,27.762,11297000.0,7605;14815;18036;22035,26607;52554;52555;63192;76638,27668
Q13085,Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (Acetyl-Coenzyme A carboxylase alpha) (ACC-alpha),ACACA ACAC ACC1 ACCA,25,16.1,265.55,2346,0.0,121.53,79126000.0,3424;3552;5084;5640;5990;6130;8878;9249;11621;12833;13599;13848;14466;14558;17382;17520;19326;26687;27398;28010;28070;28888;29177;29418;29473,12040;12041;12042;12043;12459;12460;17874;17875;20058;21237;21712;31013;31014;32246;40663;40664;45000;45001;45002;48088;48089;48090;48091;49016;51183;51184;51185;51561;51562;60897;60898;60899;61463;61464;67266;67267;92036;94251;94252;96808;97001;100265;101294;102250;102400,12533
Q13098,COP9 signalosome complex subunit 1 (SGN1) (Signalosome subunit 1) (G protein pathway suppressor 1) (GPS-1) (JAB1-containing signalosome subunit 1) (Protein MFH),GPS1 COPS1 CSN1,5,15.5,55.536,491,0.0,32.959,47710000.0,851;4910;6335;7079;18831,2931;2932;2933;17287;17288;17289;17290;17291;17292;22468;22469;22470;22471;22472;25010;25011;65682,3041
Q13123,Protein Red (Cytokine IK) (IK factor) (Protein RER),IK RED RER,11,28.0,65.601,557,0.0,39.203,48936000.0,2736;2737;6687;10860;12575;14993;15890;19941;24375;27897;30139,9657;9658;9659;9660;9661;23726;37947;37948;44138;53225;56034;56035;69438;69439;84084;96422;104728;104729,10056
Q13126,S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase),MTAP MSAP,7,41.7,31.236,283,0.0,55.972,94595000.0,2324;5954;11781;13344;24589;27559;31391,8150;8151;8152;21144;41243;41244;47033;47034;47035;47036;47037;47038;47039;84763;84764;84765;84766;84767;84768;95007;109096;109097;109098;109099,8503
Q13131,5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26),PRKAA1 AMPK1,3,8.4,64.009,559,0.0,11.514,6893500.0,4274;12871;24252,14939;45146;45147;83612,15538
Q13144,Translation initiation factor eIF2B subunit epsilon (eIF2B GDP-GTP exchange factor subunit epsilon),EIF2B5 EIF2BE,7,14.1,80.379,721,0.0,18.273,12346000.0,5038;7754;8398;9689;10790;24037;30448,17713;27030;29334;33752;33753;37758;82842;105729;105730,18429
Q13148,TAR DNA-binding protein 43 (TDP-43),TARDBP TDP43,9,31.6,44.739,414,0.0,83.288,227820000.0,8740;9452;10724;15754;19531;19970;22775;27092;29652,30563;30564;30565;30566;30567;30568;30569;32907;32908;32909;32910;32911;32912;32913;37524;37525;37526;37527;37528;37529;55584;55585;55586;55587;55588;67957;67958;67959;69533;69534;78953;93287;93288;93289;93290;93291;93292;93293;93294;102988;102989;102990;102991;102992,31759
Q13151,Heterogeneous nuclear ribonucleoprotein A0 (hnRNP A0),HNRNPA0 HNRPA0,14,50.2,30.84,305,0.0,86.667,426200000.0,720;2799;4714;5814;5857;8837;9996;10258;10558;15651;17189;17276;20102;24088,2576;2577;2578;9845;9846;9847;16691;16692;20622;20623;20624;20625;20626;20627;20628;20629;20630;20631;20820;20821;20822;20823;20824;20825;30900;34797;34798;34799;34800;34801;34802;34803;34804;34805;34806;34807;34808;34809;34810;34811;34812;35816;35817;35818;35819;35820;36882;55285;55286;55287;55288;60146;60147;60148;60149;60443;60444;60445;60446;60447;60448;70016;70017;70018;70019;70020;70021;83063;83064;83065;83066,2675
Q13155,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1),AIMP2 JTV1 PRO0992,9,44.1,35.348,320,0.0,107.84,99525000.0,3986;5299;9010;9375;17972;20213;23597;25525;25625,13950;13951;13952;13953;18670;18671;18672;31441;31442;31443;32653;32654;32655;32656;32657;62950;70424;81258;81259;81260;81261;81262;81263;81264;81265;87885;87886;87887;88262;88263;88264,14498
Q13162,Peroxiredoxin-4 (EC 1.11.1.24) (Antioxidant enzyme AOE372) (AOE37-2) (Peroxiredoxin IV) (Prx-IV) (Thioredoxin peroxidase AO372) (Thioredoxin-dependent peroxide reductase A0372) (Thioredoxin-dependent peroxiredoxin 4),PRDX4,8,52.4,30.54,271,0.0,83.444,183280000.0,5305;10916;10917;12189;14092;14369;19668;22328;25442;27069;29588,18705;18706;18707;18708;38160;38161;38162;38163;38164;38165;38166;38167;38168;38169;38170;38171;38172;38173;38174;42853;42854;42855;42856;42857;49922;49923;49924;49925;49926;49927;50820;50821;50822;50823;50824;50825;68462;68463;68464;68465;68466;68467;68468;77601;77602;77603;77604;77605;87590;93229;93230;93231;93232;102763;102764,19447
Q13177,Serine/threonine-protein kinase PAK 2 (EC 2.7.11.1) (Gamma-PAK) (PAK65) (S6/H4 kinase) (p21-activated kinase 2) (PAK-2) (p58) [Cleaved into: PAK-2p27 (p27); PAK-2p34 (p34) (C-t-PAK2)],PAK2,20,54.0,58.042,524,0.0,161.82,161100000.0,1794;3612;4621;5739;7016;11651;13379;13607;15139;15787;16501;18255;19283;20447;21351;23704;23706;25490;26487;31028,6354;6355;6356;12687;16375;16376;20388;20389;24827;24828;24829;40776;40777;40778;40779;40780;47177;47178;47179;48116;48117;48118;48119;48120;48121;48122;48123;53668;55691;57924;57925;57926;57927;57928;57929;57930;63894;63895;63896;63897;63898;63899;67099;67100;71193;74273;74274;81694;81695;81700;81701;81702;87759;87760;87761;87762;87763;87764;91370;91371;91372;107877;107878;107879;107880,6632
Q13185,Chromobox protein homolog 3 (HECH) (Heterochromatin protein 1 homolog gamma) (HP1 gamma) (Modifier 2 protein),CBX3,10,56.3,20.811,183,0.0,73.723,531000000.0,3080;4804;10310;13522;16079;16210;19488;24643;28101;30214,10752;10753;10754;10755;10756;16953;35975;35976;35977;35978;35979;35980;47766;47767;47768;47769;47770;47771;47772;47773;56605;57012;57013;57014;57015;57016;57017;57018;57019;57020;57021;57022;67810;67811;67812;67813;67814;67815;67816;84938;84939;84940;97100;97101;97102;97103;104938;104939;104940;104941;104942;104943;104944;104945;104946;104947,11203
Q13190,Syntaxin-5,STX5 STX5A,3,9.6,39.672,355,0.0,14.056,14240000.0,4398;7439;27174,15424;15425;15426;26082;93482;93483,16034
Q13200,26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97) (Protein 55.11) (Tumor necrosis factor type 1 receptor-associated protein 2),PSMD2 TRAP2,32,47.0,100.2,908,0.0,176.3,444710000.0,2059;2800;3820;4003;5027;5879;6660;6862;7374;8277;8743;9370;11703;12312;16564;17502;18295;18444;19577;20055;20304;20335;20724;22389;23945;23973;25276;26470;28456;29420;30248;31050,7243;7244;7245;7246;7247;9848;9849;9850;9851;13384;13385;13386;13387;14000;14001;14002;14003;14004;14005;17670;17671;17672;17673;17674;20895;20896;23650;24297;24298;24299;24300;25893;25894;25895;25896;25897;25898;25899;25900;28935;28936;28937;28938;28939;28940;30574;30575;30576;30577;32630;40967;40968;40969;40970;43253;43254;43255;43256;58173;58174;58175;58176;58177;58178;61397;61398;63999;64000;64001;64550;64551;64552;64553;64554;64555;64556;68124;68125;68126;70757;70758;70876;70877;72199;77810;77811;82567;82568;82663;82664;82665;87027;91302;91303;91304;91305;98566;98567;98568;98569;98570;98571;98572;98573;98574;98575;98576;98577;102252;102253;102254;105046;105047;105048;107933;107934;107935,7546
Q13206,Probable ATP-dependent RNA helicase DDX10 (EC 3.6.4.13) (DEAD box protein 10),DDX10,5,9.3,100.89,875,0.0,28.542,15931000.0,11583;18603;23499;24783;25745,40506;40507;65054;80943;80944;85377;85378;88682,42081
Q13217,"DnaJ homolog subfamily C member 3 (Endoplasmic reticulum DNA J domain-containing protein 6) (ER-resident protein ERdj6) (ERdj6) (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)",DNAJC3 P58IPK PRKRI,14,32.7,57.579,504,0.0,85.89,82771000.0,3411;8150;12337;12889;14423;15209;15551;16520;16521;17681;24772;24963;27876;31318,11990;28503;28504;28505;43330;45198;51046;51047;51048;51049;53841;53842;53843;55011;57975;57976;57977;61961;61962;85350;85351;85352;85353;85354;85355;85979;96290;96291;108835,12477
Q13228,Methanethiol oxidase (MTO) (EC 1.8.3.4) (56 kDa selenium-binding protein) (SBP56) (SP56) (Selenium-binding protein 1),SELENBP1 SBP,3,11.4,52.39,472,0.0,12.25,6905500.0,18476;19338;21574,64670;64671;67303;75101;75102,67861
Q13242,"Serine/arginine-rich splicing factor 9 (Pre-mRNA-splicing factor SRp30C) (Splicing factor, arginine/serine-rich 9)",SRSF9 SFRS9 SRP30C,9,41.6,25.542,221,0.0,22.374,107570000.0,3120;5479;6676;8586;12209;14819;15091;24206;29051,10864;10865;10866;19400;19401;19402;19403;19404;19405;23682;23683;23684;23685;23686;30077;42913;42914;52566;52567;52568;52569;52570;53515;83447;83448;83449;83450;83451;83452;100821,11318
Q13243,"Serine/arginine-rich splicing factor 5 (Delayed-early protein HRS) (Pre-mRNA-splicing factor SRP40) (Splicing factor, arginine/serine-rich 5)",SRSF5 HRS SFRS5 SRP40,4,24.6,31.263,272,0.0,25.416,53056000.0,10242;10243;17803;18412;21905,35752;35753;35754;35755;35756;35757;35758;62422;64448;64449;64450;64451;76189;76190,37160
Q13247,"Serine/arginine-rich splicing factor 6 (Pre-mRNA-splicing factor SRP55) (Splicing factor, arginine/serine-rich 6)",SRSF6 SFRS6 SRP55,12,30.8,39.586,344,0.0,26.736,395240000.0,1509;3105;3753;4753;17667;17803;18081;21906;24089;24384;24784;26775,5255;5256;5257;10833;13189;16811;16812;16813;16814;61921;61922;61923;61924;62422;63348;76191;76192;76193;76194;83067;84113;84114;85379;85380;85381;85382;92318;92319;92320;92321;92322,5477
Q13263,Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (EC 2.3.2.27) (KRAB-associated protein 1) (KAP-1) (KRAB-interacting protein 1) (KRIP-1) (Nuclear corepressor KAP-1) (RING finger protein 96) (RING-type E3 ubiquitin transferase TIF1-beta) (Tripartite motif-containing protein 28),TRIM28 KAP1 RNF96 TIF1B,28,55.8,88.549,835,0.0,323.31,848740000.0,264;265;597;3310;3311;3791;3982;5917;8448;9315;9336;9648;12132;14581;16602;16801;17807;17962;18198;19174;19296;20218;20322;25298;27551;28311;29048;29661,845;846;847;848;849;850;2083;2084;2085;11634;11635;11636;11637;11638;11639;11640;11641;11642;11643;13308;13309;13310;13311;13312;13313;13933;21023;21024;21025;29518;29519;29520;29521;29522;29523;32463;32464;32465;32466;32467;32468;32469;32470;32536;32537;33611;42639;42640;42641;51664;51665;51666;51667;58267;58268;58269;58270;58271;58272;58273;58274;58275;58276;58973;58974;58975;58976;58977;58978;58979;58980;58981;58982;58983;62433;62434;62435;62924;63727;63728;63729;63730;63731;63732;66728;66729;66730;66731;66732;66733;66734;66735;66736;66737;66738;66739;67139;67140;67141;67142;67143;70444;70445;70446;70838;70839;70840;70841;70842;70843;87079;87080;87081;94980;94981;94982;94983;94984;97996;97997;97998;97999;98000;98001;98002;98003;100811;100812;103029,873
Q13268,"Dehydrogenase/reductase SDR family member 2, mitochondrial (EC 1.1.1.-) (Dicarbonyl reductase HEP27) (Protein D) (Short chain dehydrogenase/reductase family 25C member 1) (Protein SDR25C1)",DHRS2 SDR25C1,13,65.4,29.926,280,0.0,214.02,4588800000.0,648;1552;3577;6421;13317;13893;18838;24813;24814;26553;27836;28288;29116,2285;2286;2287;2288;2289;2290;2291;2292;2293;2294;2295;5413;5414;5415;12538;12539;12540;12541;12542;12543;12544;12545;12546;12547;12548;12549;12550;12551;12552;12553;12554;12555;12556;12557;12558;12559;12560;22783;22784;22785;22786;22787;22788;22789;22790;22791;22792;22793;22794;22795;22796;22797;22798;46908;46909;46910;46911;46912;46913;46914;46915;46916;46917;49136;49137;49138;49139;49140;49141;49142;65698;65699;65700;65701;65702;65703;65704;65705;65706;65707;65708;65709;65710;65711;65712;65713;65714;65715;65716;65717;65718;65719;85504;85505;85506;85507;85508;85509;85510;85511;85512;85513;85514;85515;85516;85517;85518;85519;85520;85521;85522;85523;85524;91572;91573;91574;91575;91576;91577;91578;91579;91580;91581;91582;91583;91584;91585;91586;91587;91588;91589;91590;91591;96111;96112;96113;96114;96115;96116;96117;96118;96119;96120;96121;96122;96123;97911;97912;97913;97914;97915;97916;97917;97918;101087;101088;101089;101090;101091;101092;101093;101094;101095;101096;101097;101098;101099;101100;101101;101102;101103;101104,2380
Q13283,Ras GTPase-activating protein-binding protein 1 (G3BP-1) (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent DNA helicase VIII) (hDH VIII) (GAP SH3 domain-binding protein 1),G3BP1 G3BP,14,40.6,52.164,466,0.0,105.38,285130000.0,3464;5483;9122;12443;16246;18632;21162;21534;23006;23884;25241;26168;29074;29098,12176;12177;12178;12179;19425;19426;19427;31792;31793;31794;31795;31796;31797;31798;31799;43661;57154;57155;65140;65141;65142;65143;65144;65145;65146;73613;73614;73615;73616;73617;74934;74935;74936;79635;79636;79637;79638;79639;79640;79641;82311;86935;86936;86937;90152;90153;90154;100888;100889;100994;100995;100996;100997,12675
Q13308,Inactive tyrosine-protein kinase 7 (Colon carcinoma kinase 4) (CCK-4) (Protein-tyrosine kinase 7) (Pseudo tyrosine kinase receptor 7) (Tyrosine-protein kinase-like 7),PTK7 CCK4,15,21.7,118.39,1070,0.0,86.89,70899000.0,460;2131;3429;4773;5252;10553;11004;12436;12582;18435;23834;29894;30200;30260;31316,1575;1576;1577;7531;7532;7533;7534;12064;12065;16868;18484;36874;38460;38461;43643;43644;44153;44154;44155;44156;64528;82129;82130;82131;82132;103941;103942;103943;103944;104914;104915;105072;108829;108830;108831;108832,1633
Q13310,Polyadenylate-binding protein 4 (PABP-4) (Poly(A)-binding protein 4) (Activated-platelet protein 1) (APP-1) (Inducible poly(A)-binding protein) (iPABP),PABPC4 APP1 PABP4,11,32.8,70.782,644,0.0,48.042,76785000.0,1417;1524;1785;2691;2845;6117;6128;9394;10240;10245;11958;17229;20810;21067;24427;24551;27910;29811;31191,4934;4935;5303;5304;5305;5306;5307;5308;5309;5310;5311;5312;5313;5314;5315;5316;5317;6331;6332;6333;9469;9470;9471;9472;9986;21673;21674;21675;21676;21677;21705;21706;21707;21708;32708;35723;35724;35725;35726;35727;35728;35729;35730;35731;35732;35760;42054;60263;60264;60265;60266;72472;72473;72474;73297;73298;73299;84234;84235;84236;84237;84640;84641;84642;84643;84644;84645;84646;84647;84648;96472;103592;103593;103594;103595;103596;108390;108391;108392;108393;108394;108395,5145
Q13330,Metastasis-associated protein MTA1,MTA1,10,17.8,80.785,715,0.0,44.618,33114000.0,12491;17117;18564;22272;22958;23150;25559;25742;28368;31165,43794;59965;59966;64927;77418;79509;79510;80011;80012;88028;88029;88673;88674;98199;98200;98201;108303;108304,45596
Q13347,Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (TGF-beta receptor-interacting protein 1) (TRIP-1) (eIF-3-beta) (eIF3 p36),EIF3I EIF3S2 TRIP1,12,45.8,36.501,325,0.0,39.802,154540000.0,4501;4617;6175;10560;12648;14550;15860;17155;19751;22309;24081;25645,15865;15866;15867;16361;16362;16363;21832;21833;21834;21835;21836;21837;36889;36890;44375;44376;44377;44378;44379;44380;51547;51548;55934;55935;55936;55937;60071;60072;60073;60074;60075;68831;77539;77540;83048;88334;88335,16499
Q13356,RING-type E3 ubiquitin-protein ligase PPIL2 (EC 2.3.2.27) (CYC4) (Cyclophilin-60) (Cyclophilin-like protein Cyp-60) (Cyp60) (hCyP-60) (Probable inactive peptidyl-prolyl cis-trans isomerase-like 2) (PPIase) (Rotamase PPIL2),PPIL2,4,12.7,58.823,520,0.0,26.514,6203600.0,7908;12913;27248;29872,27616;45291;93759;103855,28712
Q13363,C-terminal-binding protein 1 (CtBP1) (EC 1.1.1.-),CTBP1 CTBP,5,17.7,47.535,440,0.0,30.444,31875000.0,3313;5073;9654;13388;28925,11652;17837;17838;17839;17840;17841;17842;17843;33635;33636;47216;47217;47218;47219;47220;100383,12138
Q13404,Ubiquitin-conjugating enzyme E2 variant 1 (UEV-1) (CROC-1) (TRAF6-regulated IKK activator 1 beta Uev1A),UBE2V1 CROC1 UBE2V UEV1 P/OKcl.19,6,46.9,16.495,147,0.0,33.944,127020000.0,305;11818;18037;18662;30291;31125,966;967;41387;41388;41389;63193;63194;63195;63196;63197;63198;63199;63200;63201;65201;65202;65203;105178;105179;105180;105181;105182;108163,1004
Q13405,"Large ribosomal subunit protein mL49 (39S ribosomal protein L49, mitochondrial) (L49mt) (MRP-L49) (Neighbor of FAU) (NOF) (Protein NOF1)",MRPL49 C11orf4 NOF1 OK/SW-cl.67,4,30.1,19.198,166,0.0,14.8,20554000.0,5103;9520;16218;26967,17953;17954;17955;17956;33162;33163;33164;33165;57054;57055;92892;92893,18675
Q13409,"Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)",DYNC1I2 DNCI2 DNCIC2,13,28.5,71.456,638,0.0,111.58,134600000.0,2007;2654;4179;5681;5682;5777;6656;14995;16820;23686;25560;26546;26547,7083;7084;9321;14609;14610;14611;14612;14613;14614;14615;20194;20195;20196;20197;20198;20199;20200;20201;20498;23638;23639;53227;59028;59029;88030;88031;88032;88033;91560;91561,7383
Q13418,Integrin-linked protein kinase (EC 2.7.11.1) (59 kDa serine/threonine-protein kinase) (Beta-integrin-linked kinase) (ILK-1) (ILK-2) (p59ILK),ILK ILK1 ILK2,6,12.8,51.419,452,0.0,7.2173,10718000.0,3503;8538;11098;12545;18418;30686,12317;29876;38823;44035;44036;64467;106582,12813
Q13423,"NAD(P) transhydrogenase, mitochondrial (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase) (Pyridine nucleotide transhydrogenase)",NNT,21,25.7,113.89,1086,0.0,91.353,116160000.0,1995;2222;5594;6343;7661;8121;8695;8749;10735;20983;22181;24525;24526;24548;25804;27122;27351;27696;27738;28583;29692,7044;7045;7829;19864;19865;19866;22490;26764;26765;26766;28402;28403;28404;28405;30378;30379;30588;37572;37573;73039;73040;73041;73042;77100;77101;84532;84533;84534;84628;84629;84630;84631;88915;88916;88917;93364;93365;93366;93367;93368;93369;94105;94106;94107;95542;95543;95544;95545;95546;95547;95702;95703;95704;99059;103150;103151;103152,7344
Q13425,Beta-2-syntrophin (59 kDa dystrophin-associated protein A1 basic component 2) (Syntrophin-3) (SNT3) (Syntrophin-like) (SNTL),SNTB2 D16S2531E SNT2B2 SNTL,2,7.6,57.949,540,0.0,6.1282,2289600.0,13237;15907,46603;56076,48587
Q13427,Peptidyl-prolyl cis-trans isomerase G (PPIase G) (Peptidyl-prolyl isomerase G) (EC 5.2.1.8) (CASP10) (Clk-associating RS-cyclophilin) (CARS-Cyp) (CARS-cyclophilin) (SR-cyclophilin) (SR-cyp) (SRcyp) (Cyclophilin G) (Rotamase G),PPIG,10,13.1,88.616,754,0.0,26.315,64041000.0,10372;11368;13877;15152;21477;22782;24413;24734;25831;29860,36192;36193;39723;49092;49093;53701;53702;74740;78961;84200;84201;84202;85206;89017;89018;89019;103795,37617
Q13428,Treacle protein (Treacher Collins syndrome protein),TCOF1,34,27.8,152.1,1488,0.0,191.51,348110000.0,1002;1125;5391;9655;9817;11107;11211;11550;11551;14863;15260;15261;15262;15778;15968;16044;16147;16609;16865;17298;18575;23472;24535;24805;24917;26263;26268;26269;27036;27176;28366;28444;29016;29981,3471;3868;3869;3870;3871;3872;3873;3874;19100;19101;19102;19103;19104;19105;19106;33637;34154;34155;34156;34157;38836;38837;38838;38839;39197;39198;39199;39200;39201;39202;40362;40363;40364;40365;40366;40367;40368;40369;40370;40371;40372;40373;52724;52725;52726;52727;54011;54012;54013;54014;55650;55651;55652;56251;56252;56253;56490;56491;56810;56811;58298;58299;58300;58301;59185;60540;64963;64964;64965;64966;64967;80869;80870;80871;84569;84570;84571;84572;85471;85472;85833;85834;85835;85836;85837;90491;90492;90505;90506;90507;90508;90509;90510;93149;93150;93151;93152;93485;93486;93487;93488;93489;93490;93491;98192;98193;98194;98195;98196;98197;98527;98528;98529;100712;104232;104233;104234;104235;104236;104237,3610
Q13435,Splicing factor 3B subunit 2 (Pre-mRNA-splicing factor SF3b 145 kDa subunit) (SF3b145) (Spliceosome-associated protein 145) (SAP 145),SF3B2 SAP145,31,37.9,100.23,895,0.0,209.21,423940000.0,327;766;2496;5564;6701;7518;9493;10626;10627;11287;11288;11895;12954;13055;13056;14376;14937;15342;15443;15846;16433;16434;16571;17064;17550;22521;25980;28382;28383;29293;30737,1079;1080;1081;2704;8763;19723;19724;23756;26344;26345;26346;26347;26348;26349;26350;33056;37122;37123;37124;37125;37126;37127;37128;37129;37130;37131;37132;39460;39461;39462;39463;41734;41735;41736;41737;45457;45915;45916;45917;45918;45919;50858;50859;50860;50861;53029;53030;54304;54305;54306;54307;54308;54309;54310;54311;54665;54666;55906;55907;57727;57728;57729;57730;57731;57732;57733;57734;58198;59779;61569;61570;61571;78231;78232;78233;78234;78235;89468;98247;98248;98249;98250;98251;101789;106781;106782,1123
Q13438,Protein OS-9 (Amplified in osteosarcoma 9),OS9,2,4.5,75.561,667,0.00029568,3.5516,2175300.0,15898;17388,56054;60916,58783
Q13439,Golgin subfamily A member 4 (256 kDa golgin) (Golgin-245) (Protein 72.1) (Trans-Golgi p230),GOLGA4,7,3.7,261.14,2230,0.0,14.163,19829000.0,6217;7106;7476;12303;13685;18847;25066,21985;25111;26201;43233;48454;65741;86315,22851
